Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.;CIF;Sitio web;Sector;Tamaño de la empresa;Sede;Tipo;Dirección;Constitución;CNAE;SIC;Twitter_90d;Twitter_90d_enisa
ACCURE THERAPEUTICS, S.L.;IPROTEOS;200.000,00 €;06/06/2017;Barcelona;Cataluña;B67623421;http://www.iproteos.com;Biotecnología;2-10 empleados;Aldaia, Valencia;De financiación privada;CALLE BALDIRI REIXAC, 4 8, ED. TORRE I, P. 5. B7.  08028, BARCELONA, BARCELONA    ;10 meses y 20 dias;6612  Actividades de intermediación en operaciones con valores y otros activos;6111 Financieras en general;1.0;
DONEXT DIGITAL SOLUTIONS, S.L.;DONEXT;73.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B88410634;;;;;;CALLE MANUEL GUTIERREZ MELLADO, 45 9º B.  28055, MADRID, MADRID   ;1 año, 10 meses y 3 dias;6202  Actividades de consultoría informática;7379 Servicios relacionados con computación SC;21.0;
KIPLOC EUROPE, S.L.;KIPLOC;128.000,00 €;03/02/2021;Barcelona;Cataluña;B67549873;https://www.kiploc.com;Electrónica de consumo;2-10 empleados;Sabadell, Cataluña / Catalunya;Empresa individual;RAMBLA IBERIA, 97.  08205, SABADELL, BARCELONA    ;1 año, 4 meses y 5 dias;412   Construcción de edificios;1542 CONTRATISTAS GENERALES SC;;
INGENIERIA SOCIAL, S.A.L.;INGENIERIA SOCIAL;125.000,00 €;29/01/2021;Barcelona;Cataluña;A64842800;;;;;;C/ VALENCIA, 227 P.2 PTA.1.  08007, BARCELONA, BARCELONA    ;13 años y 2 dias;7490  Otras actividades profesionales, científicas y técnicas n.c.o.p.;8999 Servicios sc;501.0;
DAWAKO MEDTECH, S.L.;DAWAKO;225.000,00 €;28/01/2021;Valencia/València;Comunitat Valenciana;B40514416;http://www.dawako.es;Servicios médicos;2-10 empleados;Paterna, Valencia;De financiación privada;C/ CATEDRATICO AGUSTIN ESCANDINO, 9 - PARC CIENTIFI.  46980, PATERNA, VALENCIA    ;2 años, 8 meses y 24 dias;2660  Fabricación de equipos de radiación, electromédicos y electroterapéuticos;;419.0;
IRONCHIP TELCO, S.L.;IRONCHIP TELCO;200.000,00 €;27/01/2021;Bizkaia;País Vasco;B95880332;;;;;;C/ ESPRONCEDA, 4 LONJA.  48902, BARAKALDO, VIZCAYA   ;3 años, 11 meses y 20 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;16.0;
LA SIESTA TECHNOLOGIES, S.L.U.;La Siesta;30.000,00 €;26/01/2021;Alicante/Alacant;Comunitat Valenciana;;;;;;;;;;;501.0;
QUICKJUICE, S.L.;Quickjuice;180.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana;B16572521;;;;;;CALLE CASTILLO DE BENISANO, 13 IZ.  46018, VALENCIA, VALENCIA    ;3 años y 8 dias;1039  Otro procesado y conservación de frutas y hortalizas;2033 Conservas de frutas y vegetales, mermeladas y zumos;;
TRATAMIENTO SUPERFICIAL ROBOTIZADO, S.L.;TSR Wind;240.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85478311;;;;;;C/ VELAZQUEZ, 108 -110 7&.  28006, MADRID, MADRID    ;12 años, 9 meses y 12 dias;7112  Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico;8911 Oficinas técnicas de ingeniería y arquitectura;19.0;
FASTBASE SOLUTIONS, S.L.;FASTBASE;150.000,00 €;19/01/2021;Bizkaia;País Vasco;B95827903;;;;;;C/ ASTONDO BIDEA -, PARQUE TECNOLOGICO DE BIZKAIA.  48160, DERIO, VIZCAYA   ;5 años, 4 meses y 15 dias;8030  Actividades de investigación;7393 Servicios de seguridad, detectives;45.0;
3ANTS DEVELOPMENT AND STRATEGIES, S.L.;Smart Protection;705.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de;;;;;;;;;;;501.0;2.0
MICO GREEN TECHNOLOGY, S.L.;Micocar;181.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87007605;http://www.micocar.com;Servicios y tecnologías de la información;2-10 empleados;Madrid, Madrid;De financiación privada;C/ AZCONA, 36 - BAJO.  28028, MADRID, MADRID    ;6 años, 11 meses y 3 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;1.0;
VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;22/03/2018;Barcelona;Cataluña;B65118531;;;;;;C/ SANT GAIETA, 121 P.2.  08221, TERRASSA, BARCELONA    ;11 años, 10 meses y 5 dias;7219  Otra investigación y desarrollo experimental en ciencias naturales y técnicas;7391 Laboratorios de investigación y desarrollo;;
TROMBOLOTE COMPANY, S.L.;BASICO FOODS;61.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B88414099;;;;;;CALLE ALMAGRO, 11 6 º.  28010, MADRID, MADRID    ;1 año, 9 meses y 28 dias;463   Comercio al por mayor de productos alimenticios, bebidas y tabaco;5141 Comestibles en general;58.0;
PANDA MOTOS, S.L.;PANDA BIKES;67.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B88562459;http://www.pandabikes.es;Sector automovilístico;2-10 empleados;Barcelona, Barcelona;Asociación;CALLE ESPRONCEDA, 39 BAJO IZQUIERDA.  28003, MADRID, MADRID   ;1 año, 3 meses y 1 dia;7711  Alquiler de automóviles y vehículos de motor ligeros;7512 Alquiler de automóviles de turismo sin conductor;56.0;
EARTHFUTURE SOLUTIONS, S.L.;HOBEEN;62.000,00 €;16/12/2020;Araba/Álava;País Vasco;B01579788;https://www.hobeen.com;Electrónica de consumo;2-10 empleados;Vitoria, Álava;Empresa individual;CALLE SAN PRUDENCIO, 6 2 º.-.  01005, VITORIA-GASTEIZ, ALAVA    ;1 año, 9 meses y 7 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;132.0;
DELICIOUS KITCHEN, S.L.U.;Delicious Kitchen Incubator;67.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;;;;;;;;;;;;
ULTIMATE GAMERS, S.L.;Ultimate Gamers;68.000,00 €;15/12/2020;Barcelona;Cataluña;B67620088;;;;;;CALLE NAPOLS, 338 340, ESC. DERECHA SA- 2.  08025, BARCELONA, BARCELONA    ;11 meses y 9 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;501.0;
PROFES EN APUROS, S.L.;Dos profes en apuros;63.000,00 €;15/12/2020;Barcelona;Cataluña;B67597468;;;;;;AVENIDA OLOF PALME, 10 BJ.  08840, VILADECANS, BARCELONA    ;1 año, 1 mes y 18 dias;4791  Comercio al por menor por correspondencia o Internet;7399 SERVICIOS COMERCIALES SC;2.0;
PENTACREDIT MARKETING, S.L.;Pentacredit;50.000,00 €;11/12/2020;Valencia/València;Comunitat Valenciana;B40608846;;;;;;AVENIDA OEST, 27 ENT 2A.  46001, VALENCIA, VALENCIA    ;1 año, 7 meses y 3 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;;
SINGULARITY BIOMED, S.L.;Singularity Biomed;51.000,00 €;11/12/2020;Barcelona;Cataluña;B67399923;;;;;;AVENIDA VIA AUGUSTA, 15 25.  08174, SANT CUGAT DEL VALLES, BARCELONA    ;2 años y 23 dias;7219  Otra investigación y desarrollo experimental en ciencias naturales y técnicas;7391 Laboratorios de investigación y desarrollo;1.0;
JACAR ENGLISH, S.L.;Great Little People;67.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88039169;;;;;;AV/ MENENDEZ PELAYO, 63 4ª C.  28009, MADRID, MADRID    ;3 años, 1 mes y 17 dias;8560  Actividades auxiliares a la educación;;501.0;1.0
PROTE CORP, S.L.;PROTE;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88470224;http://www.prote.pro;Alimentación y bebidas;2-10 empleados;Madrid, Madrid;De financiación privada;CALLE JOSE ORTEGA Y GASSET, 89 3º DCHA - INTERIOR 1.  28006, MADRID, MADRID    ;1 año, 6 meses y 1 dia;4619  Intermediarios del comercio de productos diversos;5099 MERCANCIAS VARIAS NO PERECEDERAS SC;501.0;
PARENTING ONLINE, S.L.;AMA CLINICS;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88596283;https://amaclinics.com;E-learning;11-50 empleados;Madrid, Madrid;De financiación privada;CALLE GIL IMON, 5 PORTAL 3B PISO 4B.  28005, MADRID, MADRID    ;1 año, 1 mes y 23 dias;8621  Actividades de medicina general;;72.0;
INVIERTIS PROPERTIES, S.L.;INVIERTIS;62.000,00 €;10/12/2020;Barcelona;Cataluña;B67357137;https://www.inviertis.es;Bienes inmobiliarios;2-10 empleados;mataro, barcelona;De financiación privada;AVENIDA D' ERNEST LLUCH, 32.  08302, MATARO, BARCELONA    ;2 años, 2 meses y 6 dias;6831  Agentes de la propiedad inmobiliaria;6531 Agencias inmobiliarias, administradores de fincas;128.0;
NEXT GEN CAPITAL, S.L.;NEXT GEN;45.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B88569025;http://nextgenwebmedia.com/;Internet;11-50 empleados;mataro, barcelona;De financiación privada;CALLE FERNANDEZ CARO, 48 1 B - PUERTA B, PLANTA 1.  28027, MADRID, MADRID    ;1 año, 1 mes y 8 dias;9329  Otras actividades recreativas y de entretenimiento;7999 SERVICIOS DE DIVERSION Y RECREATIVOS SC;501.0;
FOOD STORIES, S.L.;FOOD STORIES;67.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B88466461;http://www.foodstories.it;Alimentación y bebidas;2-10 empleados;mataro, barcelona;De financiación privada;CALLE JAVIER FERRERO, 10.  28002, MADRID, MADRID    ;1 año, 6 meses y 24 dias;4711  Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;5999 DETALLISTAS DIVERSOS SC;501.0;1.0
HEDYLA TECHNOLOGIES, S.L.;HEDYLA;33.000,00 €;02/12/2020;Barcelona;Cataluña;B67447458;https://hedyla.com;Software;2-10 empleados;Barcelona, Barcelona;De financiación privada;AVENIDA SEGLE XXI, 31 4 PTA.1.  08840, VILADECANS, BARCELONA    ;1 año, 10 meses y 9 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;10.0;
SYRA COFFEE, S.L.;Syra Coffee;70.000,00 €;30/11/2020;Barcelona;Cataluña;B67406223;;;;;;CALLE MARE DEU DELS DESEMPARATS, 14 BJ.  08012, BARCELONA, BARCELONA    ;2 años y 18 dias;5630  Establecimientos de bebidas;5813 BARES Y CAFETERÍAS;30.0;
LA CAFE ORIGINAL, S.L.;LA CAFE ORIGINAL;64.000,00 €;27/11/2020;Barcelona;Cataluña;B01598515;;;;;;CALLE SANTA ANNA, 5 2 PTA.1.  08401, GRANOLLERS, BARCELONA    ;10 meses;4631  Comercio al por mayor de frutas y hortalizas;5148 Frutas frescas y verduras;461.0;
GLAMPING LA DEHESA, S.L.;Glamping La Dehesa;60.000,00 €;24/11/2020;Córdoba;Andalucía;B56107774;;;;;;CALLE ALHONDIGA, 10.  14430, ADAMUZ, CORDOBA    ;2 años, 2 meses y 12 dias;5530  Campings y aparcamientos para caravanas;7033 Campings y parques de autocaravanas;;
ODISEI MUSIC, S.L.;TRAVEL SAX;32.000,00 €;24/11/2020;Barcelona;Cataluña;B67566026;;;;;;CALLE DOCTOR MURILLO, 10.  08172, SANT CUGAT DEL VALLES, BARCELONA   ;1 año, 3 meses y 9 dias;3299  Otras industrias manufactureras n.c.o.p.;3999 FABRICANTES DIVERSOS SC;89.0;
PORTER DELIVERY & MOVING, S.L.;PORTER;67.000,00 €;19/11/2020;Madrid;Madrid, Comunidad de;;http://www.porteradvertising.cl;Marketing y publicidad;11-50 empleados;Santiago, Región Matropolitana;De financiación privada;;;;;501.0;
ICOMMUNITY LABS & TECH, S.L.;iCommunity Labs;68.000,00 €;17/11/2020;Madrid;Madrid, Comunidad de;;;;;;;;;;;14.0;
COMOVITA EUROPE, S.L.;Comovita;48.000,00 €;16/11/2020;Barcelona;Cataluña;B67589150;http://www.porteradvertising.cl;Marketing y publicidad;11-50 empleados;Santiago, Región Matropolitana;De financiación privada;AVENIDA DIAGONAL, 405 2PLTA.  08008, BARCELONA, BARCELONA   ;1 año, 2 meses y 5 dias;13    Industria textil;2299 Productos textiles sc;2.0;
SERVIPYME NEWTECH, S.L.;Servipyme;62.000,00 €;16/11/2020;Valencia/València;Comunitat Valenciana;B40653081;;;;;;CALLE DE LA PAU, 23 3.  46003, VALENCIA, VALENCIA   ;1 año, 1 mes y 4 dias;6312  Portales web;7399 SERVICIOS COMERCIALES SC;;
PULPO SOFTWARE, S.L.;Pulpo;67.000,00 €;12/11/2020;Valencia/València;Comunitat Valenciana;B40631079;https://pulpomarketing.com;Marketing y publicidad;0-1 empleados;Telde, Las Palmas;Empresa individual;AVENIDA GENERAL AVILES, 46 ESC. BJ IZ.  46015, VALENCIA, VALENCIA    ;1 año, 3 meses y 27 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;501.0;
ENJOY TECH, S.L.;Enjoyers;69.000,00 €;11/11/2020;Cáceres;Extremadura;B10492536;;;;;;C/ BARRIONUEVO, 24.  10430, CUACOS DE YUSTE, CACERES   ;2 años, 8 meses y 27 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;501.0;
STREAMION, S.L.;Streamion;68.000,00 €;30/10/2020;Valencia/València;Comunitat Valenciana;B40617276;http://streamion.io;Marketing y publicidad;2-10 empleados;Valencia, Valencia;De financiación privada;CALLE JOAQUIM BENLLOCH, 85 ESC. B 27.  46026, VALENCIA, VALENCIA    ;1 año, 5 meses y 29 dias;7311  Agencias de publicidad;5999 DETALLISTAS DIVERSOS SC;136.0;
MEETOPTICS LABS, S.L.;MEETOPTICS;68.000,00 €;30/10/2020;Barcelona;Cataluña;B67427294;https://www.meetoptics.com;Investigación;2-10 empleados;Barcelona, Barcelona;Asociación;AVENIDA CARRILET, 336 3 PTA.1.  08907, HOSPITALET DE LLOBREGAT (L'), BARCELONA    ;1 año, 11 meses y 7 dias;4669  Comercio al por mayor de otra maquinaria y equipo;5084 Maquinaria y equipo industrial;61.0;1.0
BUMERANG TAKEAWAY, S.L.;YOU BUMERANG;68.000,00 €;23/10/2020;Barcelona;Cataluña;B67587451;;;;;;CALLE DEU I MATA, 96 5 PTA.4.  08029, BARCELONA, BARCELONA    ;1 año, 2 meses y 4 dias;8299  Otras actividades de apoyo a las empresas n.c.o.p.;8999 Servicios sc;165.0;
MASENTI ESPACIO NATURAL, S.L.;Masentí;67.000,00 €;22/10/2020;Barcelona;Cataluña;B67208017;;;;;;CALLE GRAN DE GRACIA, 9.  08012, BARCELONA, BARCELONA    ;2 años, 11 meses y 16 dias;9609  Otros servicios personales n.c.o.p.;7299 Servicios personales diversos sc;37.0;
BUZOME, S.L.;BUZOME;68.000,00 €;21/10/2020;Madrid;Madrid, Comunidad de;B88605555;https://buzome.com;Envío de paquetes y carga;2-10 empleados;Madrid, Comunità di Madrid;Asociación;CALLE MORENO NIETO, 2.  28005, MADRID, MADRID   ;1 año, 1 mes y 17 dias;4719  Otro comercio al por menor en establecimientos no especializados;5311 GRANDES ALMACENES;;
IMPERIA SCM CONSULTING, S.L.;Imperia SCM;30.000,00 €;19/10/2020;Valencia/València;Comunitat Valenciana;B40554891;;;;;;MUELL DE LA ADUANA - EDIFICIO LANZADERA, .  46004, VALENCIA, VALENCIA   ;2 años, 2 meses y 24 dias;7022  Otras actividades de consultoría de gestión empresarial;7399 SERVICIOS COMERCIALES SC;2.0;
EDUCADVISOR, S.L.;micole;67.000,00 €;15/10/2020;Madrid;Madrid, Comunidad de;B88552732;https://www.micole.net;Internet;2-10 empleados;Madrid, Comunità di Madrid;De financiación privada;CALLE JOAQUIN COSTA, 39 1.  28002, MADRID, MADRID    ;1 año, 3 meses y 3 dias;7311  Agencias de publicidad;5999 DETALLISTAS DIVERSOS SC;501.0;1.0
3DIGITAL FACTORY LEAN SOLUTIONS, S.L.;3DIGITAL FACTORY;68.000,00 €;13/10/2020;Barcelona;Cataluña;B67513168;https://3digitalfactory.com/;Plásticos;2-10 empleados;Barcelona, Barcelona;De financiación privada;CALLE SANT PERE D'ULLASTRE, 3 PTA. A.  08211, CASTELLAR DEL VALLES, BARCELONA    ;1 año, 6 meses y 2 dias;3299  Otras industrias manufactureras n.c.o.p.;3999 FABRICANTES DIVERSOS SC;;
COCO POSITIVO, S.L.;El Coco;67.000,00 €;13/10/2020;Barcelona;Cataluña;B67411926;;;;;;CALLE RIERA DE SANT MIQUEL, 3.  08006, BARCELONA, BARCELONA    ;2 años y 8 dias;8559  Otra educación n.c.o.p.;8299 Escuelas y servicios educativos sc;501.0;
SHAKERS GLOBAL SOLUTIONS, S.L.;SHAKERS;68.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de;B88235130;https://3digitalfactory.com/;Plásticos;2-10 empleados;Owensboro, Kentucky;De financiación privada;CALLE EDISON, 3.  28006, MADRID, MADRID    ;2 años, 5 meses y 2 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;501.0;
